Timestamp,Leeftijd,Achtergrond,GestemdePartij,GestemdePartijAnders,Ranking,Renaissance,Les Républicains,Les Écologistes,PS,PCF,Rassemblement National,Reconquête,LFI,C_partij,V0,V1,V2,V4,V5,V3,V6,V7,V8,V9,IdealCoalition,Feedback
23-4-2026 18:15:32,26-30,Doctorat,LFI,,LFI > PS > PCF > Les Écologistes > Renaissance > Les Républicains > Rassemblement National > Reconquête,-1,-4,2,1,1,-5,-5,4,Renaissance,A,A,B,B,B,A,A,A,A,B,"{""Renaissance"":34,""Les Écologistes"":33,""PS"":33}",
24-4-2026 19:02:06,40+,Doctorat,Renaissance,,Renaissance > Les Écologistes > PS > Rassemblement National > PCF > Les Républicains > Reconquête > LFI,-1,-4,1,2,1,-5,-5,-3,Renaissance,A,B,A,A,A,A,A,A,B,B,"{""PS"":30,""Renaissance"":20,""PCF"":20,""Les Écologistes"":30}",
25-4-2026 12:03:55,26-30,Doctorat,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-2,-4,2,0,1,-5,-5,4,Renaissance,A,A,B,B,B,A,A,A,A,B,"{""Les Écologistes"":39,""LFI"":68}",
25-4-2026 13:06:15,26-30,Master,Reconquête,,Les Républicains > Reconquête > Rassemblement National > Renaissance > PS > Les Écologistes > PCF > LFI,0,5,-4,-1,-4,1,3,-5,PS,A,A,B,A,A,A,A,A,B,A,"{""Les Républicains"":50,""Reconquête"":35,""Rassemblement National"":15}",
25-4-2026 13:25:35,26-30,Master,LR,,Les Républicains > Renaissance > Les Écologistes > PS > Rassemblement National > LFI > Reconquête > PCF,3,4,1,-1,-5,-4,-5,-4,PS,A,A,B,A,A,A,A,B,A,A,"{""Les Républicains"":100}",Je ne suis pas particulièrement favorable aux coalitions (cf modèle de l'Allemagne qui ne me semble pas attractif). En particulier entre les partis de droite en France où les visions ne me semblent pas du tout alignées
25-4-2026 18:12:54,26-30,Master,Reconquête,,Reconquête > Rassemblement National > Les Républicains > Renaissance > PS > PCF > LFI > Les Écologistes,-1,-1,-5,-3,-3,1,2,-4,Renaissance,A,A,A,B,A,A,A,A,B,A,"{""Les Républicains"":25,""Reconquête"":40,""Rassemblement National"":35}",
25-4-2026 19:27:14,26-30,Master,Renaissance,,Renaissance > Les Républicains > Les Écologistes > PS > PCF > Rassemblement National > Reconquête > LFI,2,0,0,-2,-4,-5,-5,-5,PS,A,A,A,A,A,A,A,A,A,A,"{""Renaissance"":86,""Les Républicains"":14}",
26-4-2026 21:20:54,26-30,Doctorat,Blanc,,LFI > PS > PCF > Les Écologistes > Renaissance > Les Républicains > Rassemblement National > Reconquête,-5,-3,-5,2,2,-5,-5,5,Les Républicains,A,A,A,B,B,A,A,A,A,A,"{""LFI"":70,""PS"":15,""Les Écologistes"":15}",
27-4-2026 13:40:01,26-30,Master,Divers gauche,,Les Écologistes > LFI > PS > Renaissance > PCF > Les Républicains > Reconquête > Rassemblement National,0,-2,5,2,1,-5,-5,5,Les Républicains,A,B,A,B,B,A,A,A,B,B,"{""LFI"":44,""PS"":24,""PCF"":13,""Les Écologistes"":19}",
28-4-2026 17:46:33,31-40,Doctorat,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Rassemblement National > Reconquête > Les Républicains,-5,-5,0,-2,0,-5,-5,1,PS,A,A,A,A,A,A,A,A,A,B,"{""LFI"":100}",
28-4-2026 17:50:28,31-40,Master,Les Écologistes,,Les Écologistes > PCF > PS > LFI > Renaissance > Les Républicains > Reconquête > Rassemblement National,-1,-4,5,2,2,-5,-5,2,Renaissance,A,A,A,B,B,A,A,A,B,A,"{""Les Écologistes"":52,""PS"":18,""PCF"":20,""LFI"":10}",
28-4-2026 17:51:59,26-30,Master,LFI,,Les Écologistes > LFI > PCF > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-3,-4,5,4,4,-5,-5,5,Renaissance,A,A,A,B,B,A,B,A,B,B,"{""Les Écologistes"":30,""PCF"":20,""LFI"":30,""PS"":20}",
28-4-2026 17:52:32,18-20,Licence,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-4,-5,1,-1,0,-5,-5,5,PS,A,A,A,B,B,A,A,A,A,A,"{""LFI"":75,""Les Écologistes"":20,""PS"":5}",
28-4-2026 17:53:45,26-30,Master,Divers gauche,,PS > Les Écologistes > PCF > LFI > Renaissance > Les Républicains > Rassemblement National > Reconquête,-5,-5,5,5,5,-5,-5,0,Renaissance,A,A,A,B,B,A,A,A,B,B,"{""PS"":34,""PCF"":33,""Les Écologistes"":33}",
28-4-2026 17:54:24,40+,BTS / DUT,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Reconquête > Rassemblement National,-5,-5,1,-3,1,-5,-5,5,PS,A,A,A,A,A,A,A,B,A,A,"{""LFI"":100}",
28-4-2026 17:54:54,21-25,Licence,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-3,-4,-1,-2,1,-4,-5,3,Les Écologistes,A,A,A,B,B,A,A,A,B,A,"{""LFI"":60,""PCF"":40}",
28-4-2026 17:54:57,21-25,Master,PS,,PS > Renaissance > PCF > Les Écologistes > LFI > Les Républicains > Rassemblement National > Reconquête,2,-3,0,5,2,-5,-5,-2,LFI,A,A,A,B,B,A,B,B,B,B,"{""PS"":50,""PCF"":25,""Renaissance"":25}",
28-4-2026 17:56:16,21-25,Licence,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-4,-5,2,1,3,-5,-5,3,Renaissance,A,B,A,B,B,A,A,A,B,B,"{""LFI"":40,""PCF"":25,""PS"":25,""Les Écologistes"":10}",
28-4-2026 17:59:28,40+,Master,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-5,-5,0,0,0,-5,-5,5,Renaissance,A,A,A,B,A,A,A,A,A,A,"{""LFI"":82,""PCF"":10,""Les Écologistes"":8}",
28-4-2026 17:59:37,21-25,Master,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Reconquête > Rassemblement National,-5,-5,-5,5,-5,-5,-5,5,Renaissance,A,A,B,B,B,A,B,A,A,B,"{""LFI"":100}",
28-4-2026 18:01:49,31-40,Licence,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Reconquête > Rassemblement National,-5,-5,5,2,2,-5,-5,5,Renaissance,A,A,B,B,B,A,A,B,A,B,"{""Les Écologistes"":20,""PCF"":15,""PS"":10,""LFI"":55}",
28-4-2026 18:03:58,26-30,Master,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Rassemblement National > Les Républicains > Reconquête,-5,-5,1,-2,2,-5,-5,5,PS,A,A,B,A,A,A,A,B,A,A,"{""LFI"":90,""PCF"":5,""Les Écologistes"":5}",
28-4-2026 18:05:04,26-30,Licence,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-4,-4,2,0,2,-5,-5,5,Renaissance,A,A,A,B,B,A,A,A,A,B,"{""LFI"":50,""Les Écologistes"":25,""PCF"":25}",compliqué de devoir choisir entre macron et l'extrême droite quand je n'en veux aucun
28-4-2026 18:05:28,31-40,Doctorat,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-3,-4,2,1,2,-5,-5,3,Renaissance,A,B,A,B,B,A,A,A,A,B,"{""Les Écologistes"":30,""LFI"":40,""PCF"":10,""PS"":20}",
28-4-2026 18:06:40,26-30,Master,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-2,-4,1,1,1,-5,-5,5,Renaissance,A,A,A,B,B,A,A,A,A,A,"{""LFI"":85,""PCF"":5,""PS"":5,""Les Écologistes"":5}",
28-4-2026 18:07:38,21-25,Master,LFI,,LFI > PS > PCF > Les Écologistes > Renaissance > Les Républicains > Rassemblement National > Reconquête,-4,-5,4,4,4,-5,-5,4,Renaissance,A,B,A,B,B,A,A,A,B,B,"{""Les Écologistes"":14,""PS"":20,""PCF"":33,""LFI"":33}",
28-4-2026 18:07:40,21-25,Master,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Rassemblement National > Les Républicains > Reconquête,-5,-5,0,-1,2,-5,-5,5,PS,A,A,A,B,A,A,A,A,A,A,"{""LFI"":76,""PCF"":12,""Les Écologistes"":12}",
28-4-2026 18:07:49,21-25,Master,Renaissance,,Renaissance > PS > Les Républicains > Les Écologistes > PCF > LFI > Rassemblement National > Reconquête,4,0,-1,3,-4,-5,-5,-4,Les Écologistes,A,A,B,B,B,A,A,B,A,A,"{""Renaissance"":70,""Les Républicains"":10,""PS"":20}",
28-4-2026 18:08:40,21-25,Master,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-5,-5,0,-1,-1,-5,-5,-1,PS,A,A,A,B,B,A,B,A,B,A,"{""PS"":25,""PCF"":25,""LFI"":25,""Les Écologistes"":25}",
28-4-2026 18:08:43,26-30,Master,Rassemblement National,,Les Républicains > Rassemblement National > Reconquête > Renaissance > PCF > PS > Les Écologistes > LFI,1,5,-4,-4,-4,5,1,-5,Les Écologistes,A,A,A,A,B,A,A,A,A,B,"{""Les Républicains"":70,""Rassemblement National"":30}",
28-4-2026 18:09:13,31-40,Master,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-3,-5,2,1,3,-5,-5,5,Renaissance,A,A,A,A,A,A,A,A,A,A,"{""LFI"":100}",
28-4-2026 18:11:14,31-40,Doctorat,Les Écologistes,,Les Écologistes > LFI > PS > PCF > Renaissance > Les Républicains > Rassemblement National > Reconquête,-4,-5,5,2,5,-5,-5,5,Renaissance,A,B,A,B,B,A,A,A,B,B,"{""Les Écologistes"":40,""LFI"":25,""PS"":15,""PCF"":20}",Certaines alliances proposées était trop improbables. 
28-4-2026 18:11:58,31-40,Doctorat,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-4,-4,2,-1,2,-5,-5,4,PS,A,A,A,B,B,A,A,A,A,A,"{""Les Écologistes"":20,""PCF"":20,""LFI"":60}",
28-4-2026 18:12:18,31-40,Master,PS,,PS > Les Écologistes > PCF > Renaissance > Les Républicains > LFI > Rassemblement National > Reconquête,0,-2,1,3,0,-5,-5,-4,Les Républicains,A,A,B,B,B,A,A,B,A,A,"{""PS"":70,""Les Écologistes"":30}",
28-4-2026 18:13:59,18-20,Licence,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-4,-5,4,2,3,-5,-5,5,Renaissance,A,A,A,B,B,A,A,B,A,A,"{""LFI"":50,""PCF"":10,""PS"":15,""Les Écologistes"":25}",
28-4-2026 18:14:10,31-40,BTS / DUT,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Reconquête > Rassemblement National,-5,-5,4,1,2,-5,-5,5,Renaissance,A,B,A,B,B,A,A,A,B,B,"{""LFI"":75,""Les Écologistes"":20,""PCF"":4,""PS"":1}",
28-4-2026 18:15:17,26-30,Master,PS,,PS > Les Écologistes > PCF > LFI > Renaissance > Les Républicains > Rassemblement National > Reconquête,-2,-5,3,5,3,-5,-5,2,Renaissance,A,B,A,B,B,A,A,A,B,B,"{""PS"":25,""LFI"":25,""PCF"":25,""Les Écologistes"":25}",
28-4-2026 18:15:49,31-40,Master,PS,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-3,-5,3,2,3,-5,-5,4,Renaissance,A,A,A,B,B,A,A,A,A,A,"{""PCF"":30,""PS"":18,""LFI"":34,""Les Écologistes"":18}",
28-4-2026 18:18:59,26-30,Master,Divers gauche,,PCF > LFI > PS > Renaissance > Les Écologistes > Les Républicains > Rassemblement National > Reconquête,-2,-3,0,1,3,-5,-5,3,Renaissance,A,B,A,B,B,A,A,A,B,B,"{""Les Écologistes"":10,""PS"":30,""PCF"":30,""LFI"":30}",
28-4-2026 18:20:11,21-25,Licence,Horizons,,PS > Renaissance > Les Écologistes > PCF > Les Républicains > LFI > Rassemblement National > Reconquête,5,1,4,5,1,-5,-5,-3,LFI,A,A,A,B,B,A,A,A,A,B,"{""PS"":60,""Les Écologistes"":20,""Renaissance"":20}",
28-4-2026 18:20:53,40+,Lycée,PCF,,PCF > LFI > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-5,-5,5,2,5,-5,-5,3,Renaissance,A,B,A,B,B,A,A,A,A,B,"{""Les Écologistes"":34,""PCF"":33,""LFI"":33}",
28-4-2026 18:21:09,26-30,Master,Les Écologistes,,LFI > Les Écologistes > PS > PCF > Renaissance > Les Républicains > Rassemblement National > Reconquête,-3,-4,3,1,1,-5,-5,4,Renaissance,A,A,A,B,B,A,A,A,B,A,"{""Les Écologistes"":30,""PS"":15,""PCF"":10,""LFI"":45}","Je pense que mes choix reposent sur un rejet absolu des partis ayant soutenu des positions que je désapprouve totalement (racisme, homophobie, euroscepticisme, et surtout leur attitude face au génocide palestinien) tout en gardant une certaine retenue vis-à-vis des partis que j’apprécie davantage. Ne me reconnaissant pleinement dans aucun parti, je préfère l’idée d’une coalition de partis que j’estime, avec une prédominance (sans majorité absolue) de ceux auxquels je m’identifie le plus.

Concrètement, la droite me répugne totalement (de LR à Reconquête), et je rejette également Renaissance, me situant plutôt à gauche, notamment proche de LFI. Cependant, mes convictions libérales (moins d’intervention de l’État dans l’économie, un poids des retraites trop important dans la dépense publique) m’amènent à privilégier une coalition associant LFI à d’autres partis de gauche, voire du centre dans certains cas, afin de conjuguer des positions humanistes avec ce que je considère comme un certain réalisme économique.

Je suis très intéressé par vos travaux ; n’hésitez pas à me faire part de vos résultats ou de nouvelles enquêtes que vous mènerez !

neilaitaoudia@icloud.com"
28-4-2026 18:23:37,21-25,Master,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-5,-5,5,4,5,-5,-5,5,Renaissance,A,A,A,B,B,A,A,A,A,B,"{""LFI"":40,""PS"":15,""Les Écologistes"":20,""PCF"":25}",
28-4-2026 18:25:25,21-25,Master,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-3,-4,3,0,2,-5,-5,1,Renaissance,A,A,A,B,B,A,A,A,A,A,"{""LFI"":60,""Les Écologistes"":40}",
28-4-2026 18:27:31,40+,Doctorat,PS,,Les Écologistes > PS > PCF > Renaissance > LFI > Les Républicains > Rassemblement National > Reconquête,-1,-5,5,4,4,-5,-5,0,Renaissance,A,A,A,B,B,A,A,A,B,A,"{""Les Écologistes"":50,""PCF"":10,""PS"":40}",
28-4-2026 18:29:54,21-25,Licence,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-2,-4,4,1,4,-5,-5,5,Renaissance,A,A,A,B,B,A,B,A,B,B,"{""PCF"":15,""PS"":6,""Les Écologistes"":20,""LFI"":59}",
28-4-2026 18:30:10,21-25,Master,N'a pas voté,,Les Écologistes > PS > LFI > PCF > Renaissance > Les Républicains > Rassemblement National > Reconquête,-2,-4,5,3,2,-5,-5,3,Renaissance,A,A,B,B,B,B,A,A,B,B,"{""Les Écologistes"":25,""PS"":25,""LFI"":25,""PCF"":25}",
28-4-2026 18:30:51,40+,Master,PCF,,PCF > Les Écologistes > PS > Les Républicains > LFI > Rassemblement National > Renaissance > Reconquête,-4,1,2,2,4,-2,-5,-2,Rassemblement National,A,A,B,B,B,A,A,B,B,A,"{""Les Républicains"":25,""Les Écologistes"":25,""PCF"":50}",
28-4-2026 18:32:16,21-25,Master,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-4,-4,5,-2,5,-5,-5,5,PS,A,A,A,B,B,A,A,A,A,B,"{""LFI"":50,""Les Écologistes"":25,""PCF"":25}",
28-4-2026 18:32:19,26-30,Master,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-3,-4,0,-2,1,-5,-5,4,PS,A,A,A,B,B,A,A,B,A,A,"{""Les Écologistes"":10,""PCF"":30,""LFI"":60}",
28-4-2026 18:36:07,26-30,Master,LFI,,LFI > Les Écologistes > PCF > PS > Renaissance > Les Républicains > Reconquête > Rassemblement National,-5,-5,5,2,5,2,-5,5,Renaissance,A,A,A,B,B,A,A,A,B,B,"{""Les Écologistes"":24,""LFI"":52,""PCF"":24}",
28-4-2026 18:38:45,31-40,Licence,PS,,PS > Les Écologistes > LFI > PCF > Renaissance > Les Républicains > Rassemblement National > Reconquête,-3,-5,4,4,2,-5,-5,3,Renaissance,A,B,B,B,B,A,A,A,B,B,"{""Les Écologistes"":31,""PS"":31,""PCF"":24,""LFI"":14}",
28-4-2026 18:39:15,31-40,Master,PS,,PS > LFI > PCF > Les Écologistes > Renaissance > Les Républicains > Rassemblement National > Reconquête,-3,-5,1,4,2,-5,-5,4,Renaissance,A,A,A,B,B,A,A,A,A,B,"{""PS"":40,""PCF"":10,""LFI"":40,""Les Écologistes"":10}",
28-4-2026 18:39:39,26-30,Licence,LFI,,LFI > PCF > Les Écologistes > PS > Renaissance > Les Républicains > Rassemblement National > Reconquête,-2,-3,1,-1,4,-5,-5,5,PS,A,A,A,B,B,A,A,A,B,A,"{""LFI"":40,""PCF"":40,""Les Écologistes"":20}",
28-4-2026 18:43:12,26-30,Licence,LFI,,LFI > Les Écologistes > PCF > PS > Les Républicains > Renaissance > Reconquête > Rassemblement National,-5,-5,2,1,1,-5,-5,3,Renaissance,A,A,B,B,B,A,A,A,A,A,"{""LFI"":70,""PCF"":30}",
